q,r0_gap_g,r0_count,r0_mean_omega,neighbor_gaps,neighbor_mean_omega_unweighted,neighbor_mean_omega_countweighted,excess_vs_neighbor_unweighted,excess_vs_neighbor_countweighted
3,6,7525638.0,0.0806500910927033,"4,8",0.082156991920673,0.07475689580803616,-0.0015069008279696983,0.005893195284667141
3,12,5961465.0,0.2901153654915738,"10,14",0.2661586800819663,0.25462845977188586,0.023956685409607492,0.03548690571968793
3,18,4812993.0,0.4828148223185856,"16,20",0.5168335020550555,0.5200968623045198,-0.03401867973646994,-0.03728203998593421
3,24,3709798.0,0.714654490779292,"22,26",0.7023095967915483,0.6887771045260217,0.012344893987743744,0.025877386253270296
3,30,3760508.0,0.956860342925816,"28,32",0.9438527724206605,0.9134155973346217,0.013007570505155552,0.04344474559119427
3,36,2202740.0,1.1745248372558517,"34,38",1.169040219341751,1.160389088017958,0.005484617914100598,0.014135749237893735
3,42,1986354.0,1.4260635625593472,"40,44",1.4019400115652942,1.3791037335556402,0.024123550994052945,0.04695982900370699
3,48,1304678.0,1.6330738788610704,"46,50",1.653611714270692,1.6554479106464899,-0.02053783540962173,-0.022374031785419524
3,54,1009287.0,1.857134882282976,"52,56",1.8733403259204877,1.869647897593864,-0.01620544363751164,-0.012513015310887887
3,60,1014907.0,2.104260480004093,"58,62",2.101353423242141,2.0766857477208176,0.0029070567619520205,0.02757473228327534
3,66,647724.0,2.336687572610328,"64,68",2.327064397165421,2.315285188913441,0.009623175444906984,0.02140238369688685
3,72,423596.0,2.610423210639077,"70,74",2.5575972714482047,2.5322502086843572,0.052825939190872084,0.07817300195471955
3,78,377701.0,2.7879235565082614,"76,80",2.821102991742432,2.8225633068595704,-0.03317943523417055,-0.03463975035130895
3,84,309979.0,3.04017888148537,"82,86",3.053253164610597,3.042399328575285,-0.013074283125226849,-0.0022204470899147566
3,90,254546.0,3.29861936056565,"88,92",3.291775625369535,3.2751010589758334,0.0068437351961150306,0.023518301589816826
3,96,148540.0,3.513892053136364,"94,98",3.5250537945818583,3.5241326405989946,-0.011161741445494311,-0.010240587462630568
3,102,117533.0,3.767145990401168,"100,104",3.7441909397316087,3.7237595300490587,0.022955050669559274,0.043386460352109246
3,108,87687.0,3.961495947524333,"106,110",3.992612231321827,3.999156258712812,-0.03111628379749387,-0.037660311188479234
3,114,68952.0,4.218621207919034,"112,116",4.213079915844219,4.195654186387052,0.0055412920748150185,0.022967021531981935
3,120,66630.0,4.445346608715415,"118,122",4.436934558837089,4.417690379289924,0.008412049878325334,0.02765622942549051
3,126,44903.0,4.690443924769228,"124,128",4.678517873241437,4.660175256664662,0.011926051527790804,0.030268668104565855
3,132,30264.0,4.957409720347906,"130,134",4.923234676263092,4.898635924171525,0.03417504408481431,0.05877379617638123
3,138,22980.0,5.140184524751788,"136,140",5.1879941604173245,5.196339071471141,-0.0478096356655362,-0.056154546719352716
3,144,15898.0,5.401947713310001,"142,146",5.417879123197585,5.405489286016114,-0.01593140988758357,-0.0035415727061129942
3,150,16463.0,5.622487882081954,"148,152",5.617597771609816,5.595482510409235,0.004890110472137721,0.027005371672718326
3,156,9866.0,5.885034434268861,"154,158",5.865479361817339,5.844226245666389,0.01955507245152166,0.040808188602471596
3,162,6811.0,6.117328940073467,"160,164",6.088660219728649,6.0753946369157985,0.028668720344818155,0.04193430315766822
3,168,6527.0,6.3128934488539015,"166,170",6.349439343588347,6.354276119201786,-0.036545894734445916,-0.04138267034788434
3,174,4230.0,6.575105095687491,"172,176",6.59145777735695,6.585519660508557,-0.016352681669459024,-0.010414564821066286
3,180,4162.0,6.807073715792341,"178,182",6.81855476469421,6.814389375810929,-0.011481048901869073,-0.00731566001858841
3,186,2401.0,7.056464758829179,"184,188",7.05610895280447,7.037594274167161,0.0003558060247090822,0.018870484662017795
3,192,1733.0,7.298662643124398,"190,194",7.261011851287515,7.2312706338588,0.03765079183688336,0.06739200926559796
3,198,1504.0,7.502002488335864,"196,200",7.525423965262888,7.522714792678629,-0.02342147692702401,-0.02071230434276483
3,204,1094.0,7.73900002071957,"202,206",7.741452014963537,7.731076343248163,-0.002451994243966915,0.007923677471406876
3,210,1210.0,8.008243016760149,"208,212",8.00307190204149,7.9605800088457865,0.005171114718658387,0.04766300791436251
3,216,505.0,8.249183984033952,"214,218",8.252261595779897,8.247951631027302,-0.003077611745945674,0.0012323530066495891
3,222,415.0,8.486438362943524,"220,224",8.452909878730221,8.438069528730281,0.03352848421330279,0.04836883421324245
3,228,324.0,8.69971740529428,"226,230",8.731180768755676,8.742500375628035,-0.031463363461396554,-0.04278297033375544
3,234,251.0,8.950283020191064,"232,236",8.93957274690123,8.932538210675208,0.010710273289832983,0.017744809515855664
3,240,215.0,9.19986694525225,"238,242",9.190026439275268,9.162947130759902,0.009840505976981717,0.03691981449234838
3,246,145.0,9.414426901471238,"244,248",9.41928271103517,9.415414528807409,-0.004855809563931501,-0.0009876273361708598
3,252,112.0,9.669742709728997,"250,254",9.639425224898332,9.618320758161328,0.030317484830664654,0.0514219515676686
3,258,77.0,9.875344765037411,"256,260",9.898628909959099,9.910113118106734,-0.0232841449216874,-0.0347683530693228
3,264,76.0,10.115484114142776,"262,266",10.13758368308999,10.139447441761034,-0.022099568947213655,-0.023963327618258035
3,270,63.0,10.369165056816833,"268,272",10.390964197567824,10.35633081047334,-0.021799140750990986,0.01283424634349295
3,276,29.0,10.579616305273156,"274,278",10.593385190700937,10.593385190700937,-0.013768885427781541,-0.013768885427781541
3,282,30.0,10.860129870021003,"280,284",10.805966289779175,10.768392767210798,0.05416358024182877,0.09173710281020497
3,288,23.0,11.048906227593443,"286,290",11.07853113354909,11.074854731384411,-0.029624905955646597,-0.025948503790967692
3,294,18.0,11.307935981630816,"292,296",11.303636703077158,11.335057629510805,0.00429927855365797,-0.02712164787998894
3,300,16.0,11.547151340753114,"298,302",11.562640110884079,11.52243080360789,-0.015488770130964724,0.024720537145224597
3,306,4.0,11.758771167072643,"304,308",11.809018729213115,11.762933042798991,-0.05024756214047166,-0.004161875726348185
3,312,11.0,12.050000469574089,"310,314",12.0164842152105,12.00387281456489,0.033516254363588516,0.04612765500919913
3,318,5.0,12.20559297939054,"316,320",12.28435357736089,12.327821404672163,-0.07876059797034962,-0.12222842528162303
