q,raw_delta_r0_minus_nonzero,raw_mean_g2_r0,raw_mean_g2_nonzero,neighbor_control_excess_count_weighted,neighbor_control_excess_unweighted_mean,neighbor_control_excess_unweighted_median,neighbor_control_excess_positive_gap_share,neighbor_control_excess_positive_event_share,neighbor_control_share_of_raw_delta,r0_event_coverage_with_neighbors,n_r0_gaps_with_neighbors,total_r0_gaps
3,0.11791835680522789,27.0847053999048,23.87496325154218,0.0026595636009320543,9.093945297940267e-06,0.0036031676578049954,0.5344827586206896,0.5652784215608936,0.022554279698155894,0.9999998887765347,58,62
5,0.2348653813323034,30.504237666725025,24.106329239579267,0.0016526028234581905,0.005544308843797068,0.005171114718658387,0.5714285714285714,0.5872866360217686,0.007036383199957326,0.9999998683167196,35,36
7,0.32340003024311637,33.44612118916497,24.32139053445586,-0.012283369207764305,0.004172016516629001,0.00429927855365797,0.52,0.3040091188899859,-0.03798196678748072,1.0,25,25
11,0.46887215953219974,37.957765885258446,24.65381733770512,-0.03613175262443424,0.013390667139807433,0.013785882768784896,0.6,0.38713965415083357,-0.07706098963197855,0.9999997534263869,15,16
13,0.6146401999208437,41.0729430154255,24.740636506366254,0.022133051532108452,0.009121322754180778,0.01700889078051837,0.6923076923076923,0.6552617535907705,0.03600976886145561,1.0,13,13
