q,n_intervals,p0_weighted,p0_unweighted_mean,p0_unweighted_std,p0_min,p0_max
3,262,0.4556117519893596,0.45561391547950975,0.0012274708233355632,0.45077463252068,0.4617194353616716
5,262,0.1924113645000509,0.1924709640606381,0.001097558587927193,0.1882798485150488,0.1971405718856228
7,262,0.11134235393167348,0.11135543872154557,0.0007578853609421457,0.1077111383108935,0.1141417547757433
11,262,0.05137889521840063,0.05139243667761554,0.0005132775206652499,0.050133503367473,0.0534190590111642
13,262,0.03653635861069835,0.03655997057151892,0.00042666366385113425,0.034514404277392,0.0380107634044249
